Player,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Ben Wallace,2001-02,27,DET,NBA,C,80,80,36.5,3.2,6.0,.531,0.0,0.0,.000,3.2,6.0,.535,.531,1.2,2.9,.423,4.0,9.0,13.0,1.4,1.7,3.5,0.9,2.2,7.6,18.6,.522,.006,.488,12.9,28.9,21.0,6.2,2.5,6.7,10.7,10.5,4.3,7.2,11.6,.190,1.2,3.3,4.4,4.8
Elton Brand,2001-02,22,LAC,NBA,PF,80,80,37.8,6.7,12.6,.527,0.0,0.0,,6.7,12.6,.527,.527,4.9,6.6,.742,5.0,6.6,11.6,2.4,1.0,2.0,2.2,3.2,18.2,23.6,.586,.000,.519,15.0,19.6,17.3,11.0,1.4,3.7,12.2,21.1,9.9,3.7,13.6,.216,3.9,0.4,4.3,4.8
Michael Jordan,2001-02,38,WAS,NBA,SF,60,53,34.9,9.2,22.1,.416,0.2,0.9,.189,9.0,21.2,.426,.420,4.4,5.6,.790,0.8,4.8,5.7,5.2,1.4,0.4,2.7,2.0,22.9,20.7,.468,.040,.252,2.7,16.3,9.4,30.8,2.2,0.9,9.9,36.0,1.2,2.1,3.3,.075,3.2,-0.1,3.1,2.7
Chris Webber,2001-02,28,SAC,NBA,PF,54,54,38.4,9.9,19.9,.495,0.1,0.4,.263,9.8,19.6,.499,.497,4.7,6.3,.749,2.8,7.3,10.1,4.8,1.7,1.4,2.9,3.4,24.5,24.4,.540,.018,.314,7.9,20.1,14.1,21.9,2.2,2.4,11.4,29.0,4.8,3.9,8.6,.200,3.8,1.6,5.4,3.9
Dirk Nowitzki,2001-02,23,DAL,NBA,C,76,76,38.0,7.9,16.6,.477,1.8,4.6,.397,6.1,11.9,.508,.532,5.8,6.8,.853,1.6,8.4,9.9,2.4,1.1,1.0,1.9,2.9,23.4,24.1,.599,.278,.410,4.7,24.0,14.5,10.8,1.5,1.9,8.9,25.5,10.2,3.1,13.4,.222,5.4,0.1,5.5,5.5
Kevin Garnett,2001-02,25,MIN,NBA,PF,81,81,39.2,8.1,17.3,.470,0.5,1.4,.319,7.7,15.9,.484,.484,4.4,5.5,.801,3.0,9.1,12.1,5.2,1.2,1.6,2.8,2.3,21.2,23.8,.536,.083,.320,9.0,26.5,17.8,22.4,1.6,2.9,12.5,26.0,7.9,4.9,12.8,.194,5.1,1.8,6.8,7.1
Shaquille O'Neal,2001-02,29,LAL,NBA,C,67,66,36.1,10.6,18.3,.579,0.0,0.0,.000,10.6,18.3,.580,.579,5.9,10.7,.555,3.5,7.2,10.7,3.0,0.6,2.0,2.6,3.0,27.2,29.7,.590,.001,.583,10.8,21.6,16.3,16.4,0.9,4.1,10.0,31.8,9.2,4.0,13.2,.262,7.1,0.9,8.0,6.1
Tracy McGrady,2001-02,22,ORL,NBA,SG,76,76,38.3,9.4,20.9,.451,1.4,3.7,.364,8.1,17.1,.470,.483,5.5,7.3,.748,2.0,5.9,7.9,5.3,1.6,1.0,2.5,1.8,25.6,25.1,.532,.178,.350,5.7,17.3,11.5,25.8,2.1,1.8,9.4,31.1,8.1,3.4,11.5,.189,6.4,0.4,6.8,6.4
Mike Bibby,2001-02,23,SAC,NBA,PG,80,80,33.2,5.6,12.3,.453,0.6,1.7,.370,4.9,10.6,.466,.479,1.9,2.4,.803,0.5,2.3,2.8,5.0,1.1,0.2,1.7,1.7,13.7,14.9,.513,.140,.196,1.5,7.3,4.5,23.0,1.6,0.4,11.1,19.7,3.7,2.6,6.3,.113,0.3,0.0,0.4,1.6
Jerry Stackhouse,2001-02,27,DET,NBA,SF,76,76,35.3,6.9,17.4,.397,1.1,3.9,.287,5.8,13.4,.430,.430,6.5,7.6,.858,1.0,3.1,4.1,5.3,1.0,0.5,3.5,2.1,21.4,19.0,.518,.227,.437,3.4,10.4,6.9,28.4,1.5,1.0,14.5,32.3,3.2,2.6,5.8,.104,2.6,-1.2,1.4,2.4
